Character,Chinese Subtitle,English Translation
"""Tiger Vanguard""",慢着,Hold it.
"""Tiger Vanguard""",过路的，从哪来回哪去，再往前小命不保,"You, traveler. Back to where you belong, or meet your end here."
"""Tiger Vanguard""",吾乃黄风大王部下的前路先锋，今奉大王严命，在山巡逻,I am the vanguard of the Yellow Wind King. I patrol this land by royal decree.
"""Tiger Vanguard""",这沙海之中有只妖怪，祸害百姓,"A yaoguai lurks in these sands, a scourge to the common folk."
"""Tiger Vanguard""",我家大王正要降服那妖怪，贩夫走卒不得擅入,Our king seeks to subdue it. Commoners must not intrude.
"""Tiger Vanguard""",要是哪个不长眼的闯了进去，扰了大王作法，我可担待不起 ,It will be on my head if any heedless fools trouble our king.
"""Tiger Vanguard""",不识起倒，拿你这凡夫给大王做个案酒！,You scorn my words? I'll have you served at the king's dinner!
"""Tiger Vanguard""",你这手棍真凶，看来有大神通,Such fierce staff work. You wield grand might!
"""Tiger Vanguard""",在下斗胆求高人出手，助我大王降妖,"Brave soul, why not use this might to aid my king's good deed?"
"""Tiger Vanguard""",我家大王打灵山而来，不忍见此地百姓受苦受难，出手降妖,Our king comes from Mount Lingshan. His kind heart seeks to end the place's suffering.
"""Tiger Vanguard""",只是那妖怪道行不浅，你若肯施予援手，定然事半功倍,"The yaoguai's skills run deep. Yet with your help, our chances will be doubled."
"""Tiger Vanguard""",大王就在前面，在下修为尚浅，不便前往，还请高人速速赶去,"The king is just ahead. With my meager skills, I cannot join you. Please, go aid him quickly!"
"""Tiger Vanguard""",实不相瞒，我洞中还有未成人的两个孩子，不能在此送了性命,"Truth be known, being a father of two little ones, my life is not mine to give."
"""Tiger Vanguard""",黄风大王宅心仁厚，是灵山来的正道弟子,Worry not. The Yellow Wind King is a noble disciple from Mount Lingshan.
"""Tiger Vanguard""",你放心去，结个善缘,Go and meet him. A good karma awaits you there.
Yellow Wind Sage,虎先锋败了？,You bested my vanguard?
Yellow Wind Sage,想必你有几分神通,Then you do indeed have skills.
Yellow Wind Sage,那妖怪身上不知有何法宝，与我相克,That yaoguai must have some vessel that counters me.
Yellow Wind Sage,三昧神风都不能伤他分毫,Even my Samadhi Wind can't hurt it.
Yellow Wind Sage,要引那妖怪出来，须得用擂鼓之法,There is only one way to draw out this yaoguai.
Yellow Wind Sage,我擂响大鼓，引出巨虫,I'll sound the drums and it'll come forward.
Yellow Wind Sage,若你愿前去，待时机一到，夺了他的法宝,"If you are willing, l ask you to seize its vessel at the right time."
Yellow Wind Sage,我便能施法降服此妖,"Then, the yaoguai will be mine."
Yellow Wind Sage,擂鼓之法本是这天尽头的百姓，为抵御太阳西沉入海的海沸之声而发明,"Here at the western end of the world, each day the sun sets and boils the sea."
Yellow Wind Sage,海水沸腾，声音之大，可以震杀城中小儿,The boiling hiss is sharp enough to ravage babies in their cradles.
Yellow Wind Sage,擂鼓之法解了此难，却又引来了妖怪,"The people sound drums to counter the impact, but the drums draw this yaoguai."
Yellow Wind Sage,它有法宝护身，我无开奈何,The vessel this yaoguai holds protects it from me.
Yellow Wind Sage,你既有胆来，恳请助我一臂之力,Your boldness in venturing here is clear. Aid me with this!
Yellow Wind Sage,那怪就在下方沙海之中，请务必助我降服此妖，救此地百姓,"It's right here beneath us in the sands. Together, we shall rid the people of this wretched yaoguai."
Yellow Wind Sage,满城百姓，感谢不尽！,"On the folk's behalf, I thank you!"
Yellow Wind Sage,有圣，就有盗,"Besides every sage, a villain resides."
Yellow Wind Sage,有高山， 就有深渊,"Beneath every mountain, an abyss lies."
Yellow Wind Sage,有天地悬殊，就有腥风血雨,"Where disparities persist, bloodbaths may arise."
Yellow Wind Sage,我逃不掉,"I cannot escape,"
Yellow Wind Sage,你，也逃不掉,and nor can you!
Bodhisattva Lingji,孽徒啊孽徒,Me disciple... ye're a fool...
Bodhisattva Lingji,你偷二郎心法，夺大圣根器,Ye stole Erlang's spell and snatched the Great Sage's relic.
Bodhisattva Lingji,还要师父的脑袋……,Ye even took yer master's head!
Bodhisattva Lingji,就为在这黄风谷底一时快活？,Just for a short reign over this barren valley?
Bodhisattva Lingji,阿弥陀佛,Thank Amitabha!
Bodhisattva Lingji,小施主，老衲乃是小须弥山之主，法号灵吉,"I am Bodhisattva Lingji of New Mount Sumeru,"
Bodhisattva Lingji,也是这鼠妖的看管之人,the warden of this rat.
Bodhisattva Lingji,大圣殒后，六根不灭，散落到了世间,"After the Great Sage's passing, his Six Senses were scattered across the mortal realm."
Bodhisattva Lingji,这贼鼠私下寻得其中一根，因自身修为有限,"This thieving rat chanced upon one of them, yet hindered by his meager might,"
Bodhisattva Lingji,难以炼化，于是生了歹心……,"he could not absorb its power, thus he schemed with wicked intent..."
Bodhisattva Lingji,我不慎中了他暗算，连头颅也被他一并割去,"A victim of his deceit, I had my head taken by him."
Bodhisattva Lingji,做了存放根器修炼邪法的容器,The Sense requires such a grand container to release its power.
Bodhisattva Lingji,连带黄风岭再次生灵涂炭，我之罪也,I should bear the blame for his reign of havoc upon this ridge again.
Bodhisattva Lingji,此番重回大道，全赖施主智勇无双,"Through your valor and sagacity, order has been restored."
Bodhisattva Lingji,这世上应只有施主一人，有资格保全此物,You are the sole worthy one to keep it.
Bodhisattva Lingji,来罢，替我收好它,Please keep it secure in my stead.
Bodhisattva Lingji,人也，兽也,"Men, beasts,"
Bodhisattva Lingji,佛也，妖也,"Buddhas, yaoguais..."
Bodhisattva Lingji,众生自有根器，持优劣为次第，可乱来不得,"Each bears a distinct root from birth, superior and inferior. None should disturb what's decided."
Bodhisattva Lingji,你说，对吗,Am I right?
Bodhisattva Lingji,孙悟空,Sun Wukong?
Keeper of the New West,吃斋念佛，诵经打坐,"Faith and devotion, quite the notion."
Keeper of the New West,又有几个真的心如止水，清静无为,"Yet how many can claim a mind so pure, still and sure?"
Keeper of the New West,你看看你,"Look at you,"
Keeper of the New West,这大风大雪的，还要这么拼命,"through the heavy snow you roam,"
Keeper of the New West,一定也是为了那个玩意儿,"desiring that thing, no doubt."
Keeper of the New West,你来之前，我算过一卦,I read your fortune before you came.
Keeper of the New West,你猜猜写的是啥,Care to hear?
Keeper of the New West,动不如静，有才无命,"""Act not and be still, thy gifts art thy ill."""
Keeper of the New West,既要送死，也不拦你,"If you seek your own end, I shall not stop you."
Keeper of the New West,小西天土地，在此恭迎天命人,"I, the Keeper of the New West, welcome the Destined One!"
Keeper of the New West,变！,Now fly!
Keeper of the New West,瞧见湖中的小庙没？,See that temple on the lake?
Keeper of the New West,那里面，便藏着你要的东西,Therein lies the thing you seek.
Keeper of the New West,趁此地的主人不在，快快取走，切勿停留,The lord of this land is away. Seize it now and leave!
The Third Prince,哟，这回来的是神仙还是妖怪呢？,"Well, who'd it be now? A deity, or a yaoguai?"
The Third Prince,这股子臊味儿，可真是熟悉啊,I know this whiff of monkey stench.
The Third Prince,新来的，我劝你老实待着,"Stay where you are, newcomer."
The Third Prince,这地界随便乱跑是会死的,Wanderers in this place meet their demise!
The Third Prince,诵经念咒，声起声消，人心就乱了,Here is where one's mind ebbs away with the tides of chants.
The Third Prince,你啊，也逃不过,That includes yours too.
The Third Prince,何妨像我一样，不听不看，安心在这等死,"Why bother fighting it? Just abandon your senses and wait for your end, like me."
The Third Prince,自我出走之时，便料到会有今日,I foresaw today when I chose to depart.
The Third Prince,尽是灵山造的恶业,Another master plan of Mount Lingshan.
The Third Prince,人不人，妖不妖，真不如死了痛快,"Once a man, now a guai. Death was his relief."
The Third Prince,是你啊……竟然还活着,"Oh, it's you. You're still alive?"
The Third Prince,还杀了我部下将领，打开了这扇门,And I see you've slain one of my captains and helped yourself to break in.
The Third Prince,我部下共有四将，皆乱了心智,"Four loyal captains. Now, four bewildered souls."
The Third Prince,你若真是天命人，可否助他们解脱?,"Can you free them from that pain, if you truly are the Destined One?"
The Third Prince,黄眉假扮弥勒，骗我等来此赴宴,He posed as Maitreya and tricked us here for a false feast.
The Third Prince,若非我一时天真，也不会害了手足弟兄,And I was foolish enough to fall for his trap. My men suffer because of me.
The Third Prince,可怜四将，沦为妖怪的鹰犬,"Four mighty captains, now mere pawns of Yellowbrow."
The Third Prince,我为保全本心，自绝耳目，方不受妖言魔音侵扰,I got rid of my eyes and ears to shield myself from these beguiling chants.
The Third Prince,黄眉老怪，你失算了,"A misstep of yours, Yellowbrow!"
The Third Prince,这猴子或许真是天命人,He might be the true Destined One!
The Third Prince,黄眉得了大圣根器，野心大过往日,"With that relic, Yellowbrow now harbors greater desires than ever."
The Third Prince,顾盼自雄，得意忘形，你或有可乘之机,Your chance may arise as he grows obsessed with his own ego.
The Third Prince,捉雾拿风收水怪，擒龙伏虎镇山场,"""Yaoguais fell in his hands, a hero of the lands."""
The Third Prince,名扬四海？,What kind of hero am I?
The Third Prince,我谁也救不了,I can save no one!
The Third Prince,多谢你带他们回来，不用再受心魔之苦,Thank you for bringing them back. Their suffering has ended.
The Third Prince,我少小离家，也曾自诩天命所归,"When I left home young, I too saw myself as destined."
The Third Prince,可如今，成了这副样子,But look at me...
The Third Prince,连跟着我的兄弟，都不得善终……,and the destiny of those who followed my cause.
The Third Prince,这个于我已无用，你且收下罢,Take this. I don't need it anymore.
The Third Prince,该回家了……,Now I can go home...
Kang-Jin Star,元帅还是不肯归顺吗,"Admiral, why so stubborn?"
Kang-Jin Star,再忍一时三刻，怕是就要化为脓血了,"Keep at it, you could melt into blood and pus."
Zhu Bajie,好妹妹，里面凉快得很呐,"Darling come on, it's perfectly cool in here!"
Zhu Bajie,就等你进来与我一起双修了,"Join me inside for some yin-yang practice, will you?"
Kang-Jin Star,元帅说笑了,"Such humor, Admiral."
Kang-Jin Star,你若放下执念，我自然会劝师父放了你,"Let go of your stubbornness, and I could request Master to set you free."
Kang-Jin Star,到时便可同修大道,Then I'd be open to joining you.
Zhu Bajie,我可消受不起,"Oh, I don't deserve you."
Zhu Bajie,看来那老贼得了师兄的玩意，果然功力大涨,That old bastard has really made good use of Wukong's relic.
Zhu Bajie,连你这东天小官都被驯得服服帖帖,"Even you, a Celestial Courtier, bend to his will."
Zhu Bajie,不过听这动静，天命人已停了塔下的经筒,"Yet, my ears tell me that the Destined One has stopped the mani wheel."
Zhu Bajie,好妹妹，估着这金疙瘩要等不到你师父来开咯,Pity. Reckon it won't be your master who unlocks these metals eventually.
Kang-Jin Star,这金饶是祖师爷的法宝，小小天命人，如何破得了,"These Gold Cymbals are made by our Grandmaster, and you think a puny monkey can go beyond that?"
Kang-Jin Star,你……你唤醒了龟将？,You... you've roused Turtle General?
Kang-Jin Star,你怎知这下面是他？,How could you know he is here below?
Zhu Bajie,甚么蛇不蛇龟不龟的,"Turtle, snake, who cares?"
Zhu Bajie,刚刚闻到一股臊味,"I caught a whiff of monkey stench,"
Zhu Bajie,这味道好生亲切，忍不住敲锣迎接！,familiar enough for me to sound my welcome!
Kang-Jin Star,师父惜你赋性，饶你一命，让你在浮屠塔底清修,Master valued your talents. He kept you alive beneath the pagoda for your own good.
Kang-Jin Star,既不识相……,How ungrateful...
Kang-Jin Star,小西天的极乐之境，怕是与你无缘了,"Evidentally, you just don't deserve the ecstasy of the New west!"
Kang-Jin Star,师父果没说错，猴子最是冥顽……,"Master's right, monkeys are set in their ways."
Kang-Jin Star,倒也无妨，这金饶你休想打开！,Still though.... you'll never crack the Gold Cymbals!
Zhu Bajie,阿绵花屎呢，拖拖拉拉的！,What took you so long? Constipation?
Zhu Bajie,老猪我在里面都快腌硬了,I was nearly cooked alive in there!
Zhu Bajie,让开让开,Move it!
Zhu Bajie,我呸！,Bah!
Zhu Bajie,人不人鬼不鬼的婆娘,Blasted eyesore!
Zhu Bajie,不想想当年在天上，我几时拿正眼看过她,Wasn't even worth my second glance back in the Court.
Zhu Bajie,又是这副模样,"Ah, that same look again."
Zhu Bajie,毛脸毛眼，尖嘴缩腮，全仗着命大,A furry coat and a pinched face. Luck's all you've got.
Zhu Bajie,又是个哑巴，算了算了，正事要紧,"Great, another mute. Whatever, let's not dally."
Zhu Bajie,这只老龟，我倒有几分交情,"Now, the turtle and I have shared a few tales."
Zhu Bajie,这黄眉老怪不同别个妖王,That Yellowbrow is not like other foes.
Zhu Bajie,花果山那只老猢狲特地浼我来处理，生怕你中了他的算计,That old monkey from Mount Huaguo asked me to back you up here to save you from his ugly tricks.
Zhu Bajie,他和我说，只要凑齐六根，便能救活大师兄,"He told me that once we gathered all six relics, we could bring Wukong back."
Zhu Bajie,我且信他一回,Let's say I buy it for now.
Zhu Bajie,我先去叙叙旧，你四处查看一番,"I'll go and catch up with him first, you take a look around."
Zhu Bajie,龟老弟，这么多年被封在这鸟不拉屎的地方，苦了你了,"My old friend, you must have had it rough all these years in this shithole."
Zhu Bajie,你放心,"Rest easy,"
Zhu Bajie,等靠岸了，我一定上去先砸了那小破庙,"once we're ashore, I'll take down that blasted temple..."
Zhu Bajie,给你和蛇兄弟报仇,to avenge you and Brother Snake.
Zhu Bajie,稳点，稳点,"Easy there, easy."
Zhu Bajie,我懂,I hear you.
Zhu Bajie,这世道，活着，死了，都不如变回石头疙瘩,"Dead or alive, all suffer the same. Should be better off staying a stone."
Zhu Bajie,你啊，空涨了许大年纪，哽哽咽咽的成何体统,"Come on. Cut the weeps and whines, will you? You are too old for those."
Zhu Bajie,知道知道， 别哭了,"Yes, yes. Stop sobbing."
Zhu Bajie,老实在这候着，我去看看你那兄弟怎样了,"Stay here and wait, I'll check on your snake pal."
Zhu Bajie,这定是龟蛇二将中的蛇将了，竟已变为一具枯骨,"This must be the Snake General, now nothing but bare bones!"
Zhu Bajie,黄眉老怪的手段着实狠毒,"That Yellowbrow is surely cruel, I'll give him that."
Zhu Bajie,老兄，蛇将已入轮回，你莫再哭哭啼啼了,"Enough with the tears, Turtle. The Snake General has passed on."
Zhu Bajie,龟蛇二将竟被折磨成了这般模样,"The once mighty Generals, now tortured and shattered."
Zhu Bajie,他的泪滴可大有用处，这是他的答谢，你速去收下,His teardrop holds great power. Take it as his thanks to you.
Chen Loong,怪事，又一位老朋友，黄眉莫不是把老猪的旧友都抓来了？,One more familiar face! Are all my old friends in Yellowbrow's clutches now?
Chen Loong,非礼勿视，非礼勿听,Stop prying! This is not for your eyes!
Chen Loong,你这小儿，搅我雅兴！,"Young one, you have spoiled my joy!"
Zhu Bajie,老头儿，许久未见，你脾气见长啊!,"It's been a lifetime, old bones! Your temper's grown fiercer!"
Zhu Bajie,这些个神仙不好好在天上待着，来小西天做甚 ,Why are these Immortals in the New West instead of up above where they belong!
Chen Loong,我这小仙被贬下界，法力失了大半,"I was cast down to the mortal realm, my powers much diminished."
Chen Loong,别无所求，就想好好活着,I ask for nothing more than to live out my days peacefully.
Chen Loong,我死了算了，神仙做不成，又被你这猢狲欺负,"I might as well die! No chance at immortality, and forced to suffer your torment!"
Chen Loong,老夫横坚是动弹不得了,This old loong can hardly move a muscle as he is.
Chen Loong,非吃一颗戌狗老弟炼制的还魂丹药不行,Only one of Xu Dog's resurrection pills can save me now.
Chen Loong,你怎么还在这儿啊，老夫没剩几口气了,Why are you still here? This old loong's living on borrowed time.
Chen Loong,疼，疼哎,"Oh, the pain!"
Chen Loong,戌狗老弟好丹药,Xu Dog loves his medicinal arts.
Chen Loong,依他的脾性，准是又在哪个丹炉前摇扇子,"Given his nature, he's surely tending the furnace flames somewhere."
Xu Dog,不消说，定是那老头儿欺负你了,Your grim face alone speaks for that old loong's bullying.
Xu Dog,好汉莫怪罪，我两个是旧相识，他的脾气我再熟悉不过,"Pray, refrain from blaming him. His ill temper persists unaltered since the first day of our long acquaintance."
Xu Dog,这老龙神力仍在，就是馋我的丹了，拿去给他便是,"Regret not, for his power endures. His desire be but one more pill, gladly bestowed by me."
Chen Loong,孺子可教，孺子可教,I knew you could do it! The young may yet be taught.
Chen Loong,得此丹药，便有了开启那宝地的法力,"With this pill, I'll gain the strength to unseal that precious place."
Chen Loong,这画中胜境，乃是我等合力打造的世外桃源,The Painted Realm. A peaceful haven I built with my fellow deities.
Chen Loong,猴子既已归位，六丁六甲也当重聚了,"Now the monkey is in place, we should gather once more!"
Traveler (Green-Capped Martialist),啊啊妖怪，走开！走开走开！,No more yaoguai! Away! Away from me!
Traveler (Green-Capped Martialist),别过来，别过来,Don't... Don't get any closer!
Traveler (Green-Capped Martialist),打！打死这群妖怪！,Kill them! Kill the yaoguais!
Traveler (Green-Capped Martialist),你，你不会吃了我罢？,"Wait, you won't eat me, will you?"
Traveler (Green-Capped Martialist),小生，小生来此山中寻宝，不想遇见了妖怪,"I was... I was on a treasure hunt, but l ended up being the hunted."
Traveler (Green-Capped Martialist),幸得英雄搭救，待宝物到手，定与英雄同享,"I owe you my life, sir. I'll share the treasure with you once I find it."
Traveler (Green-Capped Martialist),都说此地乃西天佛国，为何尽是妖魔呢？,"Say, why is there nothing but yaoguais in this so-called Buddhas' realm?"
Traveler (Green-Capped Martialist),若又入险境，可否再访英雄帮助帮助?,"Can I look to you to save me again, sir, if they come back?"
Traveler (Green-Capped Martialist),稀奇古怪圆溜溜，青皮红肉黑骨头……,"Green without, round and sweet. Red within, a summer treat."
Traveler (Green-Capped Martialist),这冰天雪地的，该去那里找寻呢,Where can I find something like that in this frozen land?
Traveler (Green-Capped Martialist),火！,Fire!
Traveler (Green-Capped Martialist),英雄真是妙法，险些冻死在这雪岭,I would be dead if it weren't for you.
Traveler (Green-Capped Martialist),这便暖和多了,No more frost now.
Traveler (Green-Capped Martialist),听闻这山中有片瓜田，乃佛祖数百年前种下,I heard that Buddha planted watermelons here hundreds of years ago.
Traveler (Green-Capped Martialist),吃上一口，益寿延年,One bite grants prolonged life.
Traveler (Green-Capped Martialist),只是这天寒地冻的，我又无英雄这般法力傍身,"Yet, when the cold bites all around, without your powerful spells,"
Traveler (Green-Capped Martialist),找寻起来，实是艰难,there is no way I can find it.
Traveler (Green-Capped Martialist),此前有人瞧见一个胖头娃娃抱着西瓜跳下山崖,Someone once saw a chubby boy jump from the cliff with a watermelon in his arms.
Traveler (Green-Capped Martialist),那人跑到崖边探看，没一点人影，料想那娃定是摔死了,He rushed to the edge of the cliff but saw no movement down there. Seemed like a certain death.
Traveler (Green-Capped Martialist),却听得崖下传来孩子的笑声，一阵又一阵……,"But suddenly, he heard the boy laughing from beneath, on and on."
Traveler (Green-Capped Martialist),吓得那人屁滚尿流地逃了,"Bewildered, he fled from the cliff."
Traveler (Green-Capped Martialist),我猜疑这其中定然有千丝万缕的联系,This story may offer a clue for my treasure hunt.
Traveler (Green-Capped Martialist),莫非瓜田在那崖下？,Maybe the watermelons were planted under the cliff?
Traveler (Green-Capped Martialist),英雄不必在此守护,"Don't let me keep you, sir."
Traveler (Green-Capped Martialist),小生稍坐片刻，待身体回暖，便自行离去,I will leave by myself when I feel warm enough.
Green-Capped Martialist,三番两次试你，竟都是不分好歹的愚善,"Time and again, I tested you, and saw nothing but gullible goodness."
Green-Capped Martialist,大哥也有看走眼的时候,Our brother does misjudge as well.
Green-Capped Martialist,小小伎俩便能轻松骗来,It requires no effort to trick you.
Green-Capped Martialist,你根本做不成天命人，还是早登极乐罢,You will never be the Destined One. Let me help you end your sorry life! 
Green-Capped Martialist,莽夫罢了,"Foolhardy, nothing more."
Green-Capped Martialist,大哥交代的事情已了，来日再会！,I've done as our brother asked. Till we meet again!
Maitreya,果然有慧根,Your faith has led you here.
Maitreya,放松些，这里可没有假道场的繁絮叨叨，打打杀杀,Rest easy. You won't find those noisy chantings and pained screamings here.
Maitreya,好瓜，熟了,"A nice, ripe melon."
Maitreya,尝尝？,Want a bite?
Maitreya,可别瞧不上这瓜，当年孙悟空就是用它，诈了我那小童,It's better than you think. Sun Wukong used it to trick that disciple of mine.
Maitreya,来，近前来,Come... Come closer.
Maitreya,既然寻到这里，有一样他俩都不会的本事，我可传授与你,"Now you've found this place, I'll teach you a trick neither of them knows."
Maitreya,手,Your hand.
Maitreya,禁字法，不杀敌，只克已,Spell Binder. It hurts no foe but binds yourself.
Maitreya,妙用何在，你自会明白,You'll come to understand its use.
Maitreya,有位孙悟空的故人，来找过我，说想清静清静,"An old friend of Sun Wukong came to me, wanting some peace."
Maitreya,我便送他去了浮屠塔，你可曾拜会？,I led him to the Great Pagoda. Have you paid him a visit?
Maitreya,都说你是天命人,They say you are the Destined One.
Maitreya,可这命若由了天，还有什么意思呢,"But if destiny is set, what difference do our actions make?"
Zhu Bajie,爷爷我累了，去亭子里歇一歇,I need a rest. That pavilion looks like a good place.
Zhu Bajie,喂！你这鬼娃儿，又是哪冒出来的山精树鬼？,"Oi, kid! You look suspicious. What kind of yaoguai are you?"
Maitreya,嘘， 我在细细端详对面的大佛,Shh... I'm looking at that Buddha over there.
Maitreya,你看他的肚脐眼，有这么大,See his belly button? It's so big.
Maitreya,比我，比你，还大好几圈,"Me, and you, we look way smaller!"
Zhu Bajie,大佛？哪来的大佛？,Buddha? Where is it?
Maitreya,你看不见佛，因为你心里无佛,You see no Buddha because you think no Buddha.
Maitreya,无佛可拜，自然眼瞎,"No thought, no sight."
Zhu Bajie,我堂堂净坛使者，甚么大佛小佛没见过！,"I, the Sacred Gourmand, saw enough Buddhas before you were even born."
Zhu Bajie,你才眼瞎，不知先拜拜面前的活菩萨,"Foolish brat! You didn't see that coming, did you?"
Maitreya,心诚则缘到，缘到则佛现,"True hearts find their path, and the Buddha is on that path."
Maitreya,两位施主不妨再四处找找，好好拜拜,"Why not worship around with true hearts, for Buddhas may light your path."
Zhu Bajie,找个屁！,Worship my hoof!
Zhu Bajie,见庙就进，见佛就拜，不分真假黑白，那是我师傅,"Visit temples, kneel to figures, tell no black from white—that's my master!"
Zhu Bajie,我老猪平生最嫌这些表面功夫,I am fed up with all these skin-deep rites.
Maitreya,心不诚，山不开,"No true heart, the path is sealed."
Maitreya,心若诚，路自来,"With true heart, it's revealed."
Maitreya,出家人要逢庙烧香，遇佛拜佛,Visit each temple you encounter and worship every Buddha you see.
Maitreya,不然肉眼愚迷，难识活佛真形,Or the true face of Buddha will always remain elusive to your eyes.
Maitreya,莫急莫急，再四处看看,Why the rush? Try looking around.
Maitreya,欲要做佛事，须有敬佛心,"To see a Buddha, one must hold the Buddha in one's heart."
Zhu Bajie,老猪明白了,I get it now.
Zhu Bajie,那小和尚让四处找找，是让我们拜四次哩！,"""For Buddhas,"" that boy said... Ah! There must be four Buddhas to worship!"
Zhu Bajie,疯泼和尚，忒没道理！,Loony monk. Can't reason with him!
Zhu Bajie,后生，做个样子便好,"Just go through the motions, boy."
Zhu Bajie,那小和尚故弄玄虚，谁知真假,Who knows if it's true or not? That little monk was speaking riddles.
Zhu Bajie,当年过小西天,"Back when we journeyed to the New West,"
Zhu Bajie,便是因为师父他老人家以为到了灵山，见佛便拜，被黄眉捉了,Our master took it for Mount Lingshan. He visited and kneeled to every figure until Yellowbrow captured him.
Zhu Bajie,老猪可不上当,I'm not my master.
Zhu Bajie,什么动静！,What's that sound?
Zhu Bajie,定又是那小和尚耍把戏，拜什么拜，回去瞧瞧！,That little monk's up to his tricks once more. Worship my hoof! Let's go back!
Zhu Bajie,小胖和尚，能拜的全拜了，路呢？,"Chubby one, we've done the rites. Where's the path?"
Maitreya,路？路不一直在那里吗？,The path? Isn't it always there?
Zhu Bajie,你这鼓着肚皮的秃头小儿，敢唬我老猪！,"Don't you trick me, you bald, potbellied brat!"
Zhu Bajie,全是光溜溜的山，哪来的路！,All I'm seeing are mountains. No path at all!
Maitreya,他，有慧根,He sees wisely with faith.
Maitreya,你，心不诚,You are daft without it.
Zhu Bajie,诚你个奶奶！,Cut your nonsense!
Zhu Bajie,你莫不是那老贼变的，专来作弄人哩！,"You must be that trickster himself, fooling us all along!"
Zhu Bajie,吃我一钯！,Take my rake!
Maitreya,不拜就不拜，这般气急败坏,Why so rude? I didn't force you to kneel.
Maitreya,修养还不如身边小辈，羞是不羞？,Throwing a tantrum at this age? Shame on you!
Zhu Bajie,气煞老猪！,You brat!
Zhu Bajie,此路不通，爷爷我拱也拱出一条路来！ ,Save your stupid path. I'll burrow one myself!
Zhu Bajie,你且先行一步，我们在山顶汇合,You go on first. I'll meet you at the summit.
Non-White,死了一个妖猴， 又来一个妖猴,"One monkey dead, and another shows up."
Non-White,等剥了你这张脸，我也去当个天命人玩玩,The face of the Destined One? It will fit me just as well.
Non-White,好戏开场！,The real show starts now!
Fox Guai,官人且留步听我诉说,"Kind sir, pause your steps and heed my story."
Fox Guai,我本是山中修炼的狐妖，一心想成人,I was a fox guai who practiced to become one of the humans.
Fox Guai,谁料那日出门觅食，中了猎户埋下的陷阱,"One day, I was foraging for food and found myself caught in a hunter's trap."
Fox Guai,朦胧中见一书生前来，将我救下，带回家中养伤,A young scholar saved me and kept me in his home to let me heal.
Fox Guai,我动弹不得，心中却满是感激,"I couldn't move, yet my heart swelled with gratitude."
Fox Guai,原想待身体康健，便助他求取功名，以报救命之恩,I thought l could aid him in his career in return for saving my life.
Fox Guai,没承想，那书生南柯一梦，梦醒后将我残杀，留下孤魂不散,"Little did I foresee that, following a dream, he would take my life. My soul lingered, yet he left without a trace."
Fox Guai,我苦苦寻觅，才知他遁入空门，就在小雷音寺中,"I sought tirelessly, only to find he had become a monk in the New Thunderclap Temple."
Fox Guai,恳求官人，取我毛发，化身前往，见他一见，解我心中困苦,"I beg you, sir, to take my fur and wear my form. Confront him and calm my sorrowful heart."
Fox Guai,我知他藏在寺中偏殿，有劳官人，带我去见他,"He's hiding in the side hall of the temple. Kind sir, will you lead me to him?"
Non-Void,随自妄情种种计度，到底哪个才是真我，谁能知道？,"""Entangled in the web of all deceptions of the heart."" Who knows which thread in the net of my thoughts marks me true?"
Non-Void,此乃念佛斋戒之地，施主满身杀气，不妨坐下与老衲诵诵经,"In a place for chanting and peace, you reek of blood. Sit, and seek solace in the scriptures with me."
Non-Void,你我皆戴罪之人，人生漫漫，许多事不得不为,"We both misdeeds, things we had to do. Life demands us acts we’d rather not. "
Non-Void,老衲已悟彻红尘，余生只求在此殿内，诵经打坐，圆赎旧孽,"I've seen and severed the illusions of life. Now, I devote my existence to the scriptures for redemption."
Non-Void,施主，念经千遍易，知行合一难,It is as easy to recite as it is difficult to embody.
Non-Void,莫如老衲，到了这般岁数，还在悔不当初……,Let not the years lead you to lament as they have led me.
Non-Void,一念起万法生，一念灭万缘寂,"A thought springs, a world blooms; a thought ceases, all bonds break."
Non-Void,什么是对？什么是错？,What is right and what is wrong?
Non-Void,杀生有罪，可若是为了大道，不得不杀呢？,"To kill is foul. But for a noble cause, can it be justified?"
Non-Void,眼根受色，耳分别声，鼻嗅诸香，舌嗜于味,"""The eyes are lured by sight, ears by sound, nose by odor, and tongue by taste."""
Non-Void,所有身根，贪受诸触，意根分别，一切诸法,"""Every sense is ensnared by contact, yet the mind, based on the perception of all, differs from all."""
Non-Void,六情诸根，各各自缘，诸尘境界，不行他缘,"""All the six of them, tied to its kind, amidst the mortal world, are unswayed by each other. """
Non-Void,你，你，你是人是鬼？,A g-ghost? Weren't you dead already?
Non-Void,这么多年，我日日为你诵经，可你还是要索我性命么？,"For years, I've prayed you'd find peace. Still, you come to take my life in penance against yours."
Non-Void,你又岂会知我动手时，是何等心痛……,You wouldn't understand my agony when I took your life...
Non-Void,你既怨毒未消，我佛慈悲，便再超度你一回！,The Buddha sees no such vengeance. I shall usher you to the beyond once more!
Non-Void,哪怕遁入空门，也无法解脱……,"Nothing, not even the scriptures, can free me from this chain."
Non-Void,妖就是妖……无可救药……,The nature of yaoguais... is beyond remedy
Non-Void,冤有头，债有主,I've brought this upon myself.
Fox Guai,世人总说，人妖殊途,They say mortals and yaoguais walk different paths.
Fox Guai,再见到他，我才知道,But it's after seeing him again that I understood...
Fox Guai,怕妖的人，比妖更可怕,Those who fear yaoguais are fouler than what they fear.
Maitreya (Yellowbrow),好得很，好得很,How delightful!
